J,method,xplot,fwer_ratio
4,MERIT,1.095,0.8694
4,Tabata,2.0949999999999998,0.871547396287562
4,ROED-EA,3.0949999999999998,0.871547396287562
4,ROED-B,4.095,0.9780083663893757
4,ROED,5.095,0.9780083663893757
4,MERIT,1.105,0.9203999999999999
4,Tabata,2.105,0.8761176287759498
4,ROED-EA,3.105,0.8761176287759498
4,ROED-B,4.1049999999999995,0.9608853098599335
4,ROED,5.1049999999999995,0.9993359760318121
4,MERIT,1.115,0.8369
4,Tabata,2.1149999999999998,0.8579152531450329
4,ROED-EA,3.1149999999999998,0.8579152531450329
4,ROED-B,4.115,0.9348487034626363
4,ROED,5.115,0.9892522089303624
4,MERIT,1.125,0.5634999999999999
4,Tabata,2.125,0.6902369027193767
4,ROED-EA,3.125,0.8022553064480376
4,ROED-B,4.125,0.9583067855388172
4,ROED,5.125,0.994230110351848
4,MERIT,1.1349999999999998,1.0102
4,Tabata,2.135,0.8761176287759498
4,ROED-EA,3.135,0.9966997664898081
4,ROED-B,4.135,0.9750575697982811
4,ROED,5.135,0.9940254896693523
4,MERIT,1.1449999999999998,0.9596
4,Tabata,2.145,0.8627786581009089
4,ROED-EA,3.145,0.8627786581009089
4,ROED-B,4.145,0.9764587234598121
4,ROED,5.145,0.9764587234598121
4,MERIT,1.1549999999999998,0.8352999999999999
4,Tabata,2.155,0.7728809081873567
4,ROED-EA,3.155,0.9364718113023529
4,ROED-B,4.155,0.9154095789413952
4,ROED,5.155,0.9941685732586292
4,MERIT,1.1649999999999998,0.4798
4,Tabata,2.165,0.7515607005742919
4,ROED-EA,3.165,0.8790237121532307
4,ROED-B,4.165,0.9247289057116104
4,ROED,5.165,0.967227691956335
