pT,pE,fwer
0.000000,0.000000,0.0425277864
0.033333,0.000000,0.0425277863
0.066667,0.000000,0.0425276687
0.100000,0.000000,0.0425194185
0.133333,0.000000,0.0424018565
0.166667,0.000000,0.0417252613
0.200000,0.000000,0.0395727354
0.233333,0.000000,0.0350888309
0.266667,0.000000,0.0283269878
0.300000,0.000000,0.0204616333
0.333333,0.000000,0.0131035604
0.366667,0.000000,0.0074088846
0.400000,0.000000,0.0036919079
0.433333,0.000000,0.0016192579
0.466667,0.000000,0.0006238537
0.500000,0.000000,0.0002103915
0.533333,0.000000,0.0000617529
0.566667,0.000000,0.0000156371
0.600000,0.000000,0.0000033726
0.633333,0.000000,0.0000006084
0.666667,0.000000,0.0000000895
0.700000,0.000000,0.0000000104
0.733333,0.000000,0.0000000009
0.766667,0.000000,0.0000000001
0.800000,0.000000,0.0000000000
0.833333,0.000000,0.0000000000
0.866667,0.000000,0.0000000000
0.900000,0.000000,0.0000000000
0.933333,0.000000,0.0000000000
0.966667,0.000000,0.0000000000
1.000000,0.000000,0.0000000000
0.000000,0.033333,0.0425416161
0.033333,0.033333,0.0425416161
0.066667,0.033333,0.0425414984
0.100000,0.033333,0.0425332437
0.133333,0.033333,0.0424156206
0.166667,0.033333,0.0417386949
0.200000,0.033333,0.0395851898
0.233333,0.033333,0.0350994024
0.266667,0.033333,0.0283349661
0.300000,0.033333,0.0204668916
0.333333,0.033333,0.0131065578
0.366667,0.033333,0.0074103544
0.400000,0.033333,0.0036925253
0.433333,0.033333,0.0016194789
0.466667,0.033333,0.0006239207
0.500000,0.033333,0.0002104085
0.533333,0.033333,0.0000617565
0.566667,0.033333,0.0000156378
0.600000,0.033333,0.0000033727
0.633333,0.033333,0.0000006084
0.666667,0.033333,0.0000000895
0.700000,0.033333,0.0000000104
0.733333,0.033333,0.0000000009
0.766667,0.033333,0.0000000001
0.800000,0.033333,0.0000000000
0.833333,0.033333,0.0000000000
0.866667,0.033333,0.0000000000
0.900000,0.033333,0.0000000000
0.933333,0.033333,0.0000000000
0.966667,0.033333,0.0000000000
1.000000,0.033333,0.0000000000
0.000000,0.066667,0.0448748654
0.033333,0.066667,0.0448748654
0.066667,0.066667,0.0448747362
0.100000,0.066667,0.0448657168
0.133333,0.066667,0.0447377839
0.166667,0.066667,0.0440051230
0.200000,0.066667,0.0416864125
0.233333,0.066667,0.0368829603
0.266667,0.066667,0.0296810540
0.300000,0.066667,0.0213540830
0.333333,0.066667,0.0136122990
0.366667,0.066667,0.0076583540
0.400000,0.066667,0.0037966946
0.433333,0.066667,0.0016567727
0.466667,0.066667,0.0006352228
0.500000,0.066667,0.0002132802
0.533333,0.066667,0.0000623602
0.566667,0.066667,0.0000157410
0.600000,0.066667,0.0000033867
0.633333,0.066667,0.0000006099
0.666667,0.066667,0.0000000896
0.700000,0.066667,0.0000000104
0.733333,0.066667,0.0000000009
0.766667,0.066667,0.0000000001
0.800000,0.066667,0.0000000000
0.833333,0.066667,0.0000000000
0.866667,0.066667,0.0000000000
0.900000,0.066667,0.0000000000
0.933333,0.066667,0.0000000000
0.966667,0.066667,0.0000000000
1.000000,0.066667,0.0000000000
0.000000,0.100000,0.0720289598
0.033333,0.100000,0.0720289597
0.066667,0.100000,0.0720286972
0.100000,0.100000,0.0720107790
0.133333,0.100000,0.0717628722
0.166667,0.100000,0.0703816201
0.200000,0.100000,0.0661403953
0.233333,0.100000,0.0576401888
0.266667,0.100000,0.0453472335
0.300000,0.100000,0.0316797496
0.333333,0.100000,0.0194986314
0.366667,0.100000,0.0105449723
0.400000,0.100000,0.0050092704
0.433333,0.100000,0.0020909321
0.466667,0.100000,0.0007668170
0.500000,0.100000,0.0002467240
0.533333,0.100000,0.0000693945
0.566667,0.100000,0.0000169443
0.600000,0.100000,0.0000035504
0.633333,0.100000,0.0000006271
0.666667,0.100000,0.0000000910
0.700000,0.100000,0.0000000104
0.733333,0.100000,0.0000000009
0.766667,0.100000,0.0000000001
0.800000,0.100000,0.0000000000
0.833333,0.100000,0.0000000000
0.866667,0.100000,0.0000000000
0.900000,0.100000,0.0000000000
0.933333,0.100000,0.0000000000
0.966667,0.100000,0.0000000000
1.000000,0.100000,0.0000000000
0.000000,0.133333,nan
0.033333,0.133333,nan
0.066667,0.133333,nan
0.100000,0.133333,nan
0.133333,0.133333,nan
0.166667,0.133333,nan
0.200000,0.133333,nan
0.233333,0.133333,nan
0.266667,0.133333,nan
0.300000,0.133333,nan
0.333333,0.133333,nan
0.366667,0.133333,nan
0.400000,0.133333,0.0093868862
0.433333,0.133333,0.0036585247
0.466667,0.133333,0.0012420451
0.500000,0.133333,0.0003675347
0.533333,0.133333,0.0000948163
0.566667,0.133333,0.0000212966
0.600000,0.133333,0.0000041431
0.633333,0.133333,0.0000006895
0.666667,0.133333,0.0000000959
0.700000,0.133333,0.0000000107
0.733333,0.133333,0.0000000009
0.766667,0.133333,0.0000000001
0.800000,0.133333,0.0000000000
0.833333,0.133333,0.0000000000
0.866667,0.133333,0.0000000000
0.900000,0.133333,0.0000000000
0.933333,0.133333,0.0000000000
0.966667,0.133333,0.0000000000
1.000000,0.133333,0.0000000000
0.000000,0.166667,nan
0.033333,0.166667,nan
0.066667,0.166667,nan
0.100000,0.166667,nan
0.133333,0.166667,nan
0.166667,0.166667,nan
0.200000,0.166667,nan
0.233333,0.166667,nan
0.266667,0.166667,nan
0.300000,0.166667,nan
0.333333,0.166667,nan
0.366667,0.166667,nan
0.400000,0.166667,0.0174849077
0.433333,0.166667,0.0065588305
0.466667,0.166667,0.0021215030
0.500000,0.166667,0.0005911879
