pT,pE,fwer
0.000000,0.000000,0.0446306332
0.033333,0.000000,0.0446306332
0.066667,0.000000,0.0446306332
0.100000,0.000000,0.0446306332
0.133333,0.000000,0.0446306332
0.166667,0.000000,0.0446306332
0.200000,0.000000,0.0446306332
0.233333,0.000000,0.0446306332
0.266667,0.000000,0.0446306332
0.300000,0.000000,0.0446306332
0.333333,0.000000,0.0446306332
0.366667,0.000000,0.0446306332
0.400000,0.000000,0.0446306332
0.433333,0.000000,0.0446306332
0.466667,0.000000,0.0446306332
0.500000,0.000000,0.0446306332
0.533333,0.000000,0.0446306332
0.566667,0.000000,0.0446306332
0.600000,0.000000,0.0446306332
0.633333,0.000000,0.0446306332
0.666667,0.000000,0.0446306332
0.700000,0.000000,0.0446306332
0.733333,0.000000,0.0446306332
0.766667,0.000000,0.0446306332
0.800000,0.000000,0.0446306332
0.833333,0.000000,0.0446306332
0.866667,0.000000,0.0446306332
0.900000,0.000000,0.0446306332
0.933333,0.000000,0.0446306332
0.966667,0.000000,0.0446306332
1.000000,0.000000,0.0446306332
0.000000,0.033333,0.0446825340
0.033333,0.033333,0.0446825340
0.066667,0.033333,0.0446825339
0.100000,0.033333,0.0446825307
0.133333,0.033333,0.0446824843
0.166667,0.033333,0.0446821944
0.200000,0.033333,0.0446811390
0.233333,0.033333,0.0446785252
0.266667,0.033333,0.0446736991
0.300000,0.033333,0.0446666636
0.333333,0.033333,0.0446582590
0.366667,0.033333,0.0446498284
0.400000,0.033333,0.0446426151
0.433333,0.033333,0.0446373009
0.466667,0.033333,0.0446339148
0.500000,0.033333,0.0446320484
0.533333,0.033333,0.0446311618
0.566667,0.033333,0.0446308017
0.600000,0.033333,0.0446306781
0.633333,0.033333,0.0446306430
0.666667,0.033333,0.0446306349
0.700000,0.033333,0.0446306334
0.733333,0.033333,0.0446306332
0.766667,0.033333,0.0446306332
0.800000,0.033333,0.0446306332
0.833333,0.033333,0.0446306332
0.866667,0.033333,0.0446306332
0.900000,0.033333,0.0446306332
0.933333,0.033333,0.0446306332
0.966667,0.033333,0.0446306332
1.000000,0.033333,0.0446306332
0.000000,0.066667,0.0495149557
0.033333,0.066667,0.0495149557
0.066667,0.066667,0.0495149491
0.100000,0.066667,0.0495145431
0.133333,0.066667,0.0495088568
0.166667,0.066667,0.0494742912
0.200000,0.066667,0.0493523278
0.233333,0.066667,0.0490604702
0.266667,0.066667,0.0485414736
0.300000,0.066667,0.0478154843
