pT,pE,fwer
0.000000,0.000000,0.0539162566
0.033333,0.000000,0.0539162566
0.066667,0.000000,0.0539162566
0.100000,0.000000,0.0539162566
0.133333,0.000000,0.0539162566
0.166667,0.000000,0.0539162566
0.200000,0.000000,0.0539162566
0.233333,0.000000,0.0539162566
0.266667,0.000000,0.0539162566
0.300000,0.000000,0.0539162566
0.333333,0.000000,0.0539162566
0.366667,0.000000,0.0539162566
0.400000,0.000000,0.0539162566
0.433333,0.000000,0.0539162566
0.466667,0.000000,0.0539162566
0.500000,0.000000,0.0539162566
0.533333,0.000000,0.0539162566
0.566667,0.000000,0.0539162566
0.600000,0.000000,0.0539162566
0.633333,0.000000,0.0539162566
0.666667,0.000000,0.0539162566
0.700000,0.000000,0.0539162566
0.733333,0.000000,0.0539162566
0.766667,0.000000,0.0539162566
0.800000,0.000000,0.0539162566
0.833333,0.000000,0.0539162566
0.866667,0.000000,0.0539162566
0.900000,0.000000,0.0539162566
0.933333,0.000000,0.0539162566
0.966667,0.000000,0.0539162566
1.000000,0.000000,0.0539162566
0.000000,0.033333,0.0539305758
0.033333,0.033333,0.0539305758
0.066667,0.033333,0.0539305758
0.100000,0.033333,0.0539305753
0.133333,0.033333,0.0539305666
0.166667,0.033333,0.0539305030
0.200000,0.033333,0.0539302450
0.233333,0.033333,0.0539295558
0.266667,0.033333,0.0539282183
0.300000,0.033333,0.0539262116
0.333333,0.033333,0.0539237884
0.366667,0.033333,0.0539213702
0.400000,0.033333,0.0539193417
0.433333,0.033333,0.0539178966
0.466667,0.033333,0.0539170182
0.500000,0.033333,0.0539165624
0.533333,0.033333,0.0539163615
0.566667,0.033333,0.0539162868
0.600000,0.033333,0.0539162637
0.633333,0.033333,0.0539162579
0.666667,0.033333,0.0539162568
0.700000,0.033333,0.0539162566
0.733333,0.033333,0.0539162566
0.766667,0.033333,0.0539162566
0.800000,0.033333,0.0539162566
0.833333,0.033333,0.0539162566
0.866667,0.033333,0.0539162566
0.900000,0.033333,0.0539162566
0.933333,0.033333,0.0539162566
0.966667,0.033333,0.0539162566
1.000000,0.033333,0.0539162566
0.000000,0.066667,0.0563360955
0.033333,0.066667,0.0563360955
0.066667,0.066667,0.0563360942
0.100000,0.066667,0.0563359810
0.133333,0.066667,0.0563340113
0.166667,0.066667,0.0563200934
0.200000,0.066667,0.0562655374
0.233333,0.066667,0.0561252737
0.266667,0.066667,0.0558642179
0.300000,0.066667,0.0554901528
0.333333,0.066667,0.0550607946
0.366667,0.066667,0.0546557295
0.400000,0.066667,0.0543365134
0.433333,0.066667,0.0541244553
0.466667,0.066667,0.0540052952
0.500000,0.066667,0.0539487429
0.533333,0.066667,0.0539262180
0.566667,0.066667,0.0539187738
0.600000,0.066667,0.0539167674
0.633333,0.066667,0.0539163370
0.666667,0.066667,0.0539162659
0.700000,0.066667,0.0539162573
0.733333,0.066667,0.0539162566
0.766667,0.066667,0.0539162566
0.800000,0.066667,0.0539162566
0.833333,0.066667,0.0539162566
0.866667,0.066667,0.0539162566
0.900000,0.066667,0.0539162566
0.933333,0.066667,0.0539162566
0.966667,0.066667,0.0539162566
1.000000,0.066667,0.0539162566
0.000000,0.100000,0.0841852805
0.033333,0.100000,0.0841852805
0.066667,0.100000,0.0841852571
0.100000,0.100000,0.0841833167
0.133333,0.100000,0.0841505469
0.166667,0.100000,0.0839265410
0.200000,0.100000,0.0830798398
0.233333,0.100000,0.0809880858
0.266667,0.100000,0.0772617217
0.300000,0.100000,0.0721733005
0.333333,0.100000,0.0666350263
0.366667,0.100000,0.0617088270
0.400000,0.100000,0.0580728160
0.433333,0.100000,0.0558279552
0.466667,0.100000,0.0546662083
0.500000,0.100000,0.0541638629
0.533333,0.100000,0.0539838852
0.566667,0.100000,0.0539311983
0.600000,0.100000,0.0539188497
0.633333,0.100000,0.0539165967
0.666667,0.100000,0.0539162886
0.700000,0.100000,0.0539162586
0.733333,0.100000,0.0539162566
0.766667,0.100000,0.0539162566
0.800000,0.100000,0.0539162566
0.833333,0.100000,0.0539162566
0.866667,0.100000,0.0539162566
0.900000,0.100000,0.0539162566
0.933333,0.100000,0.0539162566
0.966667,0.100000,0.0539162566
1.000000,0.100000,0.0539162566
0.000000,0.133333,nan
0.033333,0.133333,nan
0.066667,0.133333,nan
0.100000,0.133333,nan
0.133333,0.133333,nan
0.166667,0.133333,nan
0.200000,0.133333,nan
0.233333,0.133333,nan
0.266667,0.133333,nan
0.300000,0.133333,nan
0.333333,0.133333,nan
0.366667,0.133333,nan
0.400000,0.133333,0.0678745472
0.433333,0.133333,0.0598753737
0.466667,0.133333,0.0560633624
0.500000,0.133333,0.0545599830
0.533333,0.133333,0.0540739921
0.566667,0.133333,0.0539471345
0.600000,0.133333,0.0539209493
0.633333,0.133333,0.0539167910
0.666667,0.133333,0.0539163002
0.700000,0.133333,0.0539162590
0.733333,0.133333,0.0539162567
0.766667,0.133333,0.0539162566
0.800000,0.133333,0.0539162566
0.833333,0.133333,0.0539162566
