pT,pE,fwer
0.000000,0.000000,0.0446306332
0.033333,0.000000,0.0446306332
0.066667,0.000000,0.0446306332
0.100000,0.000000,0.0446306332
0.133333,0.000000,0.0446306332
0.166667,0.000000,0.0446306332
0.200000,0.000000,0.0446306332
0.233333,0.000000,0.0446306332
0.266667,0.000000,0.0446306332
0.300000,0.000000,0.0446306332
0.333333,0.000000,0.0446306332
0.366667,0.000000,0.0446306332
0.400000,0.000000,0.0446306332
0.433333,0.000000,0.0446306332
0.466667,0.000000,0.0446306332
0.500000,0.000000,0.0446306332
0.533333,0.000000,0.0446306332
0.566667,0.000000,0.0446306332
0.600000,0.000000,0.0446306332
0.633333,0.000000,0.0446306332
0.666667,0.000000,0.0446306332
0.700000,0.000000,0.0446306332
0.733333,0.000000,0.0446306332
0.766667,0.000000,0.0446306332
0.800000,0.000000,0.0446306332
0.833333,0.000000,0.0446306332
0.866667,0.000000,0.0446306332
0.900000,0.000000,0.0446306332
0.933333,0.000000,0.0446306332
0.966667,0.000000,0.0446306332
1.000000,0.000000,0.0446306332
0.000000,0.033333,0.0446450930
0.033333,0.033333,0.0446450930
0.066667,0.033333,0.0446450930
0.100000,0.033333,0.0446450925
0.133333,0.033333,0.0446450837
0.166667,0.033333,0.0446450195
0.200000,0.033333,0.0446447590
0.233333,0.033333,0.0446440630
0.266667,0.033333,0.0446427124
0.300000,0.033333,0.0446406860
0.333333,0.033333,0.0446382390
0.366667,0.033333,0.0446357971
0.400000,0.033333,0.0446337487
0.433333,0.033333,0.0446322894
0.466667,0.033333,0.0446314023
0.500000,0.033333,0.0446309421
0.533333,0.033333,0.0446307391
0.566667,0.033333,0.0446306637
0.600000,0.033333,0.0446306405
0.633333,0.033333,0.0446306346
0.666667,0.033333,0.0446306334
0.700000,0.033333,0.0446306332
0.733333,0.033333,0.0446306332
0.766667,0.033333,0.0446306332
0.800000,0.033333,0.0446306332
0.833333,0.033333,0.0446306332
0.866667,0.033333,0.0446306332
0.900000,0.033333,0.0446306332
0.933333,0.033333,0.0446306332
0.966667,0.033333,0.0446306332
1.000000,0.033333,0.0446306332
0.000000,0.066667,0.0470742224
0.033333,0.066667,0.0470742224
0.066667,0.066667,0.0470742210
0.100000,0.066667,0.0470741068
0.133333,0.066667,0.0470721178
0.166667,0.066667,0.0470580632
0.200000,0.066667,0.0470029718
0.233333,0.066667,0.0468613314
0.266667,0.066667,0.0465977134
0.300000,0.066667,0.0462199769
