J,method,xplot,sample_ratio,power_excess,mean_g1,min_g2
3,MERIT,0.965,0.864406779661017,-0.00019000000000002348,0.867646,0.84687
3,Tabata,1.965,1.0,0.029198187850957846,0.8860076752424139,0.8495627298427118
3,ROED-EA,2.965,1.0,0.029198187850957846,0.8860076752424139,0.8495627298427118
3,ROED-B,3.965,0.9548022598870056,0.0018210243861341846,0.8663095018142973,0.8088755302719194
3,ROED,4.965,0.9548022598870056,0.0018210243861341846,0.8663095018142973,0.8088755302719194
3,MERIT,0.975,0.9054054054054054,-0.0016700000000000603,0.9367369999999999,0.942
3,Tabata,1.975,1.0,0.010978655782914237,0.940609968516022,0.9360362750982754
3,ROED-EA,2.975,0.972972972972973,0.001095750557484343,0.9371849052053598,0.9142401726764049
3,ROED-B,3.975,0.9504504504504504,0.0013558631148369304,0.935816176417482,0.9196667891308552
3,ROED,4.975,0.9504504504504504,0.0020217995219642404,0.9359994246663886,0.9182886058336776
3,MERIT,0.985,0.94,0.0006899999999999684,0.870181,0.88167
3,Tabata,1.985,1.0,0.008385841312302467,0.8709207748072709,0.8501618794896283
3,ROED-EA,2.985,1.0,0.008385841312302467,0.8709207748072709,0.8501618794896283
3,ROED-B,3.985,0.9666666666666667,0.008473831183573699,0.8699326451230288,0.8473665543686857
3,ROED,4.985,0.9666666666666667,0.008473831183573699,0.8699326451230288,0.8473665543686857
3,MERIT,0.995,0.9710144927536232,-0.0016700000000000603,0.9367369999999999,0.942
3,Tabata,1.995,1.0,0.0009337023202186101,0.9346314130978788,0.939864335026908
3,ROED-EA,2.995,0.9710144927536232,0.0013066408659533346,0.9336154807698108,0.9182886058336776
3,ROED-B,3.995,0.9468599033816425,0.0013323850165419815,0.9344513979802451,0.9170420649483398
3,ROED,4.995,0.9468599033816425,0.0013323850165419815,0.9344513979802451,0.9170420649483398
3,MERIT,1.005,0.9154929577464789,0.007399999999999962,0.872761,0.85512
3,Tabata,2.005,1.0,0.011603373641302372,0.8723942618008346,0.8303890622421713
3,ROED-EA,3.005,1.0,0.011603373641302372,0.8723942618008346,0.8303890622421713
3,ROED-B,4.005,0.9765258215962441,0.0002261335221194205,0.8647028860006977,0.8167769938871319
3,ROED,5.005,0.9765258215962441,0.008054602565885638,0.8720728745983717,0.8303890622421713
3,MERIT,1.015,0.9560439560439561,0.004209999999999936,0.940541,0.94981
3,Tabata,2.015,1.0,0.010817652389642052,0.9401836720503074,0.9395454708148574
3,ROED-EA,3.015,0.978021978021978,0.0017586808830833967,0.9363829390085245,0.9311573110313985
3,ROED-B,4.015,0.9743589743589743,0.0028851460525590733,0.9362744001248323,0.9260222901425
3,ROED,5.015,0.967032967032967,0.000931804734722097,0.9335367882266269,0.9219678399677177
3,MERIT,1.025,0.9365079365079365,0.00032999999999994145,0.8705849999999999,0.89727
3,Tabata,2.025,1.0,0.0036081853780007833,0.8695250010447353,0.8480981129792418
3,ROED-EA,3.025,0.9682539682539683,0.009863255261865933,0.8684038777260239,0.8590845310938868
3,ROED-B,4.025,0.9735449735449735,9.705861473563449e-05,0.8656112235784932,0.8319352656479162
3,ROED,5.025,0.9682539682539683,0.009863255261865933,0.8684038777260239,0.8590845310938868
3,MERIT,1.035,1.0,0.0010999999999999899,0.938767,0.95917
3,Tabata,2.035,1.0,0.0034101847118651607,0.9332334668444974,0.9460423979516466
3,ROED-EA,3.035,0.9651162790697675,1.350487119289312e-05,0.9337910517613552,0.9296722402601778
3,ROED-B,4.035,0.9573643410852714,0.0016136482167037336,0.9335292615084795,0.9371740471062199
3,ROED,5.035,0.9573643410852714,0.0016136482167037336,0.9335292615084795,0.9371740471062199
