group,endpoint,h,tail
Dose 1,Toxicity,-1,0.0036144034296658185
Dose 1,Efficacy,-1,0.011123892023082357
Dose 1,Toxicity,0,0.007182030839507223
Dose 1,Efficacy,0,0.006106724003095202
Dose 1,Toxicity,1,0.01349000973806739
Dose 1,Efficacy,1,0.0032079158137692833
Doses 2--4,Toxicity,-1,0.007050629771870522
Doses 2--4,Efficacy,-1,0.025811633734873392
Doses 2--4,Toxicity,0,0.013983694041919464
Doses 2--4,Efficacy,0,0.014484393812774669
Doses 2--4,Toxicity,1,0.02600100544333763
Doses 2--4,Efficacy,1,0.00772779456099648
