J,rho,mean_min_g1,worst_min_g1
2,-0.1,0.8611314456898527,0.8087888339841669
2,0,0.8603536944633452,0.8067486943185536
2,0.15,0.8600749017019158,0.804968356113676
2,0.3,0.8608663302255106,0.8047453180646961
3,-0.1,0.8553674472482038,0.8060631595828787
3,0,0.8545475893113984,0.803914605901397
3,0.15,0.8543247290526168,0.8020119822748658
3,0.3,0.8553921709150529,0.8018210243861342
4,-0.1,0.8523057240466249,0.8007399624444782
4,0,0.8517916327081592,0.8012172163087107
4,0.15,0.8519077285461055,0.8011440629777837
4,0.3,0.8532566800884185,0.8029975542082854
