configuration,J,alpha,target,phi_E1,phi_E0,rho,scenario,kind,simulations,seed,fwer,g1,g2
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s0_k0,null,100000,21066563,0.03491,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s0_k1,null,100000,21067572,0.00328,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s0_k2,null,100000,21068581,3e-05,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s1_k1,null,100000,21069590,0.04917,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s1_k2,null,100000,21070599,0.0016,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,H0_s2_k2,null,100000,21071608,0.01993,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,W1,alternative,100000,21072617,nan,0.825,0.85603
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,W2,alternative,100000,21073626,nan,0.82598,0.84414
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.0,P1,alternative,100000,21074635,nan,0.96195,0.96195
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s0_k0,null,100000,21171292,0.03172,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s0_k1,null,100000,21172301,0.00195,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s0_k2,null,100000,21173310,0.0,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s1_k1,null,100000,21174319,0.04263,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s1_k2,null,100000,21175328,0.00067,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,H0_s2_k2,null,100000,21176337,0.01496,nan,nan
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,W1,alternative,100000,21177346,nan,0.82124,0.85142
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,W2,alternative,100000,21178355,nan,0.82177,0.83898
J2_a0p05_p0p80_e0p30_0p10,2,0.05,0.8,0.3,0.1,0.3,P1,alternative,100000,21179364,nan,0.96164,0.96164
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s0_k0,null,100000,21066563,0.02047,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s0_k1,null,100000,21067572,0.00154,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s0_k2,null,100000,21068581,7e-05,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s1_k1,null,100000,21069590,0.04599,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s1_k2,null,100000,21070599,0.00283,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,H0_s2_k2,null,100000,21071608,0.03026,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,W1,alternative,100000,21072617,nan,0.82159,0.84079
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,W2,alternative,100000,21073626,nan,0.81884,0.84559
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.0,P1,alternative,100000,21074635,nan,0.96105,0.96105
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s0_k0,null,100000,21171292,0.01705,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s0_k1,null,100000,21172301,0.00075,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s0_k2,null,100000,21173310,1e-05,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s1_k1,null,100000,21174319,0.03838,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s1_k2,null,100000,21175328,0.00167,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,H0_s2_k2,null,100000,21176337,0.02583,nan,nan
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,W1,alternative,100000,21177346,nan,0.81906,0.83674
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,W2,alternative,100000,21178355,nan,0.81525,0.84131
J2_a0p05_p0p80_e0p60_0p40,2,0.05,0.8,0.6,0.4,0.3,P1,alternative,100000,21179364,nan,0.96013,0.96013
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s0_k0,null,100000,21066563,0.02803,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s0_k1,null,100000,21067572,0.00221,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s0_k2,null,100000,21068581,4e-05,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s1_k1,null,100000,21069590,0.04972,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s1_k2,null,100000,21070599,0.00219,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,H0_s2_k2,null,100000,21071608,0.02575,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,W1,alternative,100000,21072617,nan,0.91337,0.93922
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,W2,alternative,100000,21073626,nan,0.90959,0.93435
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.0,P1,alternative,100000,21074635,nan,0.9912,0.9912
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s0_k0,null,100000,21171292,0.02702,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s0_k1,null,100000,21172301,0.00134,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s0_k2,null,100000,21173310,1e-05,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s1_k1,null,100000,21174319,0.04562,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s1_k2,null,100000,21175328,0.00118,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,H0_s2_k2,null,100000,21176337,0.0222,nan,nan
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,W1,alternative,100000,21177346,nan,0.91375,0.9392
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,W2,alternative,100000,21178355,nan,0.90944,0.9332
J2_a0p05_p0p90_e0p30_0p10,2,0.05,0.9,0.3,0.1,0.3,P1,alternative,100000,21179364,nan,0.9911,0.9911
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s0_k0,null,100000,21066563,0.01641,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s0_k1,null,100000,21067572,0.00089,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s0_k2,null,100000,21068581,4e-05,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s1_k1,null,100000,21069590,0.03896,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s1_k2,null,100000,21070599,0.00186,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,H0_s2_k2,null,100000,21071608,0.02649,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,W1,alternative,100000,21072617,nan,0.91146,0.92688
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,W2,alternative,100000,21073626,nan,0.90381,0.92738
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.0,P1,alternative,100000,21074635,nan,0.99066,0.99066
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s0_k0,null,100000,21171292,0.0146,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s0_k1,null,100000,21172301,0.00049,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s0_k2,null,100000,21173310,0.0,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s1_k1,null,100000,21174319,0.03613,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s1_k2,null,100000,21175328,0.00122,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,H0_s2_k2,null,100000,21176337,0.02359,nan,nan
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,W1,alternative,100000,21177346,nan,0.91058,0.92605
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,W2,alternative,100000,21178355,nan,0.90261,0.92638
J2_a0p05_p0p90_e0p60_0p40,2,0.05,0.9,0.6,0.4,0.3,P1,alternative,100000,21179364,nan,0.9903,0.9903
J2_a0p10_p0p80_e0p30_0p10,2,0.1,0.8,0.3,0.1,0.0,H0_s0_k0,null,100000,21066563,0.04421,nan,nan
