J,alpha,target,phi_E1,phi_E0,rho,simulations,seed,scenario,kind,parameters,metric,value,average_sample_size,engine_version
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s0_k0,null,0.4;0.3;0.4;0.3,Type I error,0.034,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s0_k1,null,0.4;0.1;0.4;0.3,Type I error,0.0026,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s0_k2,null,0.4;0.1;0.4;0.1,Type I error,0.0001,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s1_k1,null,0.2;0.1;0.4;0.3,Type I error,0.0449,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s1_k2,null,0.2;0.1;0.4;0.1,Type I error,0.0017,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,H0_s2_k2,null,0.2;0.1;0.2;0.1,Type I error,0.018,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,W1,alternative,0.2;0.3;0.4;0.3,Power,0.8153,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,W2,alternative,0.2;0.1;0.2;0.3,Power,0.8199,49,1.0.0
2,0.05,0.8,0.3,0.1,0,10000,20365554,P1,alternative,0.2;0.3;0.2;0.3,Power,0.9592,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k0,null,0.4;0.3;0.4;0.3,Type I error,0.0331,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k1,null,0.4;0.1;0.4;0.3,Type I error,0.0021,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k2,null,0.4;0.1;0.4;0.1,Type I error,0,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k1,null,0.2;0.1;0.4;0.3,Type I error,0.0463,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k2,null,0.2;0.1;0.4;0.1,Type I error,0.0008,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,H0_s2_k2,null,0.2;0.1;0.2;0.1,Type I error,0.0208,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,W1,alternative,0.2;0.3;0.4;0.3,Power,0.8243,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,W2,alternative,0.2;0.1;0.2;0.3,Power,0.8163,49,1.0.0
2,0.05,0.8,0.3,0.1,0.3,10000,20470283,P1,alternative,0.2;0.3;0.2;0.3,Power,0.9625,49,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s0_k0,null,0.4;0.6;0.4;0.6,Type I error,0.0188,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s0_k1,null,0.4;0.4;0.4;0.6,Type I error,0.0011,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s0_k2,null,0.4;0.4;0.4;0.4,Type I error,0.0001,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s1_k1,null,0.2;0.4;0.4;0.6,Type I error,0.0458,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s1_k2,null,0.2;0.4;0.4;0.4,Type I error,0.0019,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,H0_s2_k2,null,0.2;0.4;0.2;0.4,Type I error,0.0282,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,W1,alternative,0.2;0.6;0.4;0.6,Power,0.8219,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,W2,alternative,0.2;0.4;0.2;0.6,Power,0.8198,63,1.0.0
2,0.05,0.8,0.6,0.4,0,10000,20365554,P1,alternative,0.2;0.6;0.2;0.6,Power,0.958,63,1.0.0
2,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k0,null,0.4;0.6;0.4;0.6,Type I error,0.0188,63,1.0.0
2,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k1,null,0.4;0.4;0.4;0.6,Type I error,0.001,63,1.0.0
2,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k2,null,0.4;0.4;0.4;0.4,Type I error,0,63,1.0.0
