J,alpha,target,phi_E1,phi_E0,method,source,total_n,fwer,min_g1,mean_g1,min_g2
2,0.05,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",98,0.04917,0.82124,0.8695966666666667,0.83898
2,0.05,0.8,0.3,0.1,Tabata,local exact engine,108,0.043857502939286364,0.8369539280404847,0.8868435125031385,0.8532431505154853
2,0.05,0.8,0.3,0.1,ROED-EA,local exact engine,108,0.043857502939286364,0.8369539280404847,0.8868435125031385,0.8532431505154853
2,0.05,0.8,0.3,0.1,ROED-B,local exact engine,105,0.04634830323089245,0.8302723095483366,0.8821285066031274,0.8455494264380801
2,0.05,0.8,0.3,0.1,ROED,local exact engine,104,0.04954234165634297,0.8339314814062629,0.8838977344275181,0.8501618794896283
2,0.05,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",130,0.04972,0.90944,0.938075,0.9332
2,0.05,0.9,0.3,0.1,Tabata,local exact engine,132,0.04298287198903927,0.9042986252932612,0.9372590400549036,0.9229122652758603
2,0.05,0.9,0.3,0.1,ROED-EA,local exact engine,132,0.04298287198903927,0.9042986252932612,0.9372590400549036,0.9229122652758603
2,0.05,0.9,0.3,0.1,ROED-B,local exact engine,125,0.04854783062131118,0.90184567540632,0.9331775022383587,0.9170420649483398
2,0.05,0.9,0.3,0.1,ROED,local exact engine,125,0.04854783062131118,0.90184567540632,0.9331775022383587,0.9170420649483398
2,0.1,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",90,0.06645,0.81091,0.86221,0.83635
2,0.1,0.8,0.3,0.1,Tabata,local exact engine,90,0.08726937302329407,0.8215250870753079,0.8783543470902649,0.854459714248495
2,0.1,0.8,0.3,0.1,ROED-EA,local exact engine,90,0.08726937302329407,0.8215250870753079,0.8783543470902649,0.854459714248495
2,0.1,0.8,0.3,0.1,ROED-B,local exact engine,87,0.09614057311737634,0.8204325763620979,0.8745022367186547,0.8449718499003431
2,0.1,0.8,0.3,0.1,ROED,local exact engine,86,0.09876060743480253,0.8201661672845015,0.8741441483044272,0.8530463158819609
2,0.1,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",120,0.0706,0.90359,0.9347,0.93845
2,0.1,0.9,0.3,0.1,Tabata,local exact engine,120,0.08087172061168657,0.9055815144172855,0.9391386087964616,0.9434856223263457
2,0.1,0.9,0.3,0.1,ROED-EA,local exact engine,118,0.07953189590074483,0.9046694934971777,0.9349055802834826,0.9159627694792207
2,0.1,0.9,0.3,0.1,ROED-B,local exact engine,114,0.09174378065171152,0.9002561342510038,0.933303579447525,0.9159627694792207
2,0.1,0.9,0.3,0.1,ROED,local exact engine,114,0.09174378065171152,0.9002561342510038,0.933303579447525,0.9159627694792207
3,0.05,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",153,0.05045,0.79981,0.867646,0.84687
3,0.05,0.8,0.3,0.1,Tabata,local exact engine,177,0.041171909535678175,0.8291981878509579,0.8860076752424139,0.8495627298427118
3,0.05,0.8,0.3,0.1,ROED-EA,local exact engine,177,0.041171909535678175,0.8291981878509579,0.8860076752424139,0.8495627298427118
3,0.05,0.8,0.3,0.1,ROED-B,local exact engine,169,0.048102372343553745,0.8018210243861342,0.8663095018142973,0.8088755302719194
3,0.05,0.8,0.3,0.1,ROED,local exact engine,169,0.048102372343553745,0.8018210243861342,0.8663095018142973,0.8088755302719194
3,0.05,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",201,0.04627,0.89833,0.9367369999999999,0.942
3,0.05,0.9,0.3,0.1,Tabata,local exact engine,222,0.04195733889904063,0.9109786557829143,0.940609968516022,0.9360362750982754
3,0.05,0.9,0.3,0.1,ROED-EA,local exact engine,216,0.04303523548176935,0.9010957505574844,0.9371849052053598,0.9142401726764049
3,0.05,0.9,0.3,0.1,ROED-B,local exact engine,211,0.04865472314755592,0.901355863114837,0.935816176417482,0.9196667891308552
3,0.05,0.9,0.3,0.1,ROED,local exact engine,211,0.04935905667428664,0.9020217995219643,0.9359994246663886,0.9182886058336776
3,0.1,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",141,0.08959,0.80069,0.870181,0.88167
3,0.1,0.8,0.3,0.1,Tabata,local exact engine,150,0.0816369727303704,0.8083858413123025,0.8709207748072709,0.8501618794896283
3,0.1,0.8,0.3,0.1,ROED-EA,local exact engine,150,0.0816369727303704,0.8083858413123025,0.8709207748072709,0.8501618794896283
3,0.1,0.8,0.3,0.1,ROED-B,local exact engine,145,0.09636096479128553,0.8084738311835737,0.8699326451230288,0.8473665543686857
3,0.1,0.8,0.3,0.1,ROED,local exact engine,145,0.09636096479128553,0.8084738311835737,0.8699326451230288,0.8473665543686857
3,0.1,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",201,0.04627,0.89833,0.9367369999999999,0.942
3,0.1,0.9,0.3,0.1,Tabata,local exact engine,207,0.0630640198535477,0.9009337023202186,0.9346314130978788,0.939864335026908
3,0.1,0.9,0.3,0.1,ROED-EA,local exact engine,201,0.08014657214723353,0.9013066408659534,0.9336154807698108,0.9182886058336776
3,0.1,0.9,0.3,0.1,ROED-B,local exact engine,196,0.09265677209350387,0.901332385016542,0.9344513979802451,0.9170420649483398
3,0.1,0.9,0.3,0.1,ROED,local exact engine,196,0.09265677209350387,0.901332385016542,0.9344513979802451,0.9170420649483398
4,0.05,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",208,0.04347,0.79808,0.86666,0.83865
4,0.05,0.8,0.3,0.1,Tabata,local exact engine,252,0.0435773698143781,0.8294467294651923,0.8891329308282426,0.8536153531888567
4,0.05,0.8,0.3,0.1,ROED-EA,local exact engine,252,0.0435773698143781,0.8294467294651923,0.8891329308282426,0.8536153531888567
4,0.05,0.8,0.3,0.1,ROED-B,local exact engine,241,0.048900418319468786,0.8036812474185192,0.8703020158161232,0.8145683489679454
4,0.05,0.8,0.3,0.1,ROED,local exact engine,241,0.048900418319468786,0.8036812474185192,0.8703020158161232,0.8145683489679454
4,0.05,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",276,0.04602,0.90008,0.9345528571428572,0.94406
4,0.05,0.9,0.3,0.1,Tabata,local exact engine,312,0.04380588143879749,0.9070196674463847,0.93902856366564,0.937132751049639
4,0.05,0.9,0.3,0.1,ROED-EA,local exact engine,312,0.04380588143879749,0.9070196674463847,0.93902856366564,0.937132751049639
4,0.05,0.9,0.3,0.1,ROED-B,local exact engine,302,0.048044265492996674,0.901795692655585,0.9365276222802175,0.9161253274158775
4,0.05,0.9,0.3,0.1,ROED,local exact engine,301,0.049966798801590606,0.9009046213955433,0.936078129211908,0.9161253274158775
4,0.1,0.8,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",196,0.08369,0.80968,0.8714428571428572,0.88807
4,0.1,0.8,0.3,0.1,Tabata,local exact engine,216,0.08579152531450329,0.8031541085219244,0.870442863094799,0.8532431505154853
4,0.1,0.8,0.3,0.1,ROED-EA,local exact engine,216,0.08579152531450329,0.8031541085219244,0.870442863094799,0.8532431505154853
4,0.1,0.8,0.3,0.1,ROED-B,local exact engine,210,0.09348487034626363,0.8005218232251716,0.8648923458490131,0.8416201128756106
4,0.1,0.8,0.3,0.1,ROED,local exact engine,208,0.09892522089303624,0.8015041777219117,0.8666837432785458,0.8455494264380801
4,0.1,0.9,0.3,0.1,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",276,0.05635,0.90404,0.9355757142857143,0.9588
4,0.1,0.9,0.3,0.1,Tabata,local exact engine,304,0.06902369027193767,0.9051460117828248,0.932108434163587,0.952697743667764
4,0.1,0.9,0.3,0.1,ROED-EA,local exact engine,292,0.08022553064480376,0.9017574316059589,0.9347728659828299,0.9277891715546818
4,0.1,0.9,0.3,0.1,ROED-B,local exact engine,283,0.09583067855388172,0.9000506006816241,0.9349766107688419,0.9182886058336776
4,0.1,0.9,0.3,0.1,ROED,local exact engine,283,0.0994230110351848,0.9008454026512774,0.9350892205662898,0.9182886058336776
2,0.05,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",126,0.04599,0.81525,0.8659866666666667,0.83674
2,0.05,0.8,0.6,0.4,Tabata,local exact engine,128,0.04516797700647501,0.8061388901470854,0.8628879727489799,0.820584707001142
2,0.05,0.8,0.6,0.4,ROED-EA,local exact engine,128,0.04516797700647501,0.8061388901470854,0.8628879727489799,0.820584707001142
2,0.05,0.8,0.6,0.4,ROED-B,local exact engine,128,0.04844190712249408,0.8188748083956384,0.8744355985237947,0.8319352656479162
2,0.05,0.8,0.6,0.4,ROED,local exact engine,126,0.049437189528869885,0.8047453180646961,0.8649516478513372,0.820584707001142
2,0.05,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",164,0.03896,0.90261,0.9349033333333333,0.92605
2,0.05,0.9,0.6,0.4,Tabata,local exact engine,162,0.04027344961787349,0.9033288802311645,0.9339361440593553,0.9203813634678948
2,0.05,0.9,0.6,0.4,ROED-EA,local exact engine,162,0.04027344961787349,0.9033288802311645,0.9339361440593553,0.9203813634678948
2,0.05,0.9,0.6,0.4,ROED-B,local exact engine,159,0.048243992917076706,0.9035661096208538,0.9349935352639531,0.9203813634678948
2,0.05,0.9,0.6,0.4,ROED,local exact engine,159,0.048243992917076706,0.9035661096208538,0.9349935352639531,0.9203813634678948
2,0.1,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",108,0.08159,0.80467,0.858765,0.84205
2,0.1,0.8,0.6,0.4,Tabata,local exact engine,112,0.09599253812650643,0.8058266470568282,0.8675574105143188,0.8388225357543333
