J,alpha,target,phi_E1,phi_E0,delta_prod,delta_alloc,delta_int,delta_full,u_alpha_tabata,u_alpha_roed,cv_n_roed
2,0.05,0.8,0.3,0.1,0,3,1,4,0.8771500587857273,0.9908468331268594,0.038461538461538464
2,0.05,0.9,0.3,0.1,0,7,0,7,0.8596574397807855,0.9709566124262237,0.008
2,0.1,0.8,0.3,0.1,0,3,1,4,0.8726937302329407,0.9876060743480253,0.046511627906976744
2,0.1,0.9,0.3,0.1,2,6,-2,6,0.8087172061168657,0.9174378065171152,0.03508771929824561
3,0.05,0.8,0.3,0.1,0,8,0,8,0.8234381907135635,0.9620474468710749,0.02213998453712391
3,0.05,0.9,0.3,0.1,6,11,-6,11,0.8391467779808126,0.9871811334857328,0.04833193851746716
3,0.1,0.8,0.3,0.1,0,5,0,5,0.816369727303704,0.9636096479128553,0.035165651817881276
3,0.1,0.9,0.3,0.1,6,11,-6,11,0.630640198535477,0.9265677209350387,0.03145109185188254
4,0.05,0.8,0.3,0.1,0,11,0,11,0.871547396287562,0.9780083663893757,0.01808671760805259
4,0.05,0.9,0.3,0.1,0,10,1,11,0.8761176287759498,0.9993359760318121,0.038024993828104973
4,0.1,0.8,0.3,0.1,0,6,2,8,0.8579152531450329,0.9892522089303624,0.04079462199153158
4,0.1,0.9,0.3,0.1,12,21,-12,21,0.6902369027193767,0.994230110351848,0.07570418828844011
2,0.05,0.8,0.6,0.4,0,0,2,2,0.9033595401295003,0.9887437905773977,0.015873015873015872
2,0.05,0.9,0.6,0.4,0,3,0,3,0.8054689923574698,0.9648798583415341,0.018867924528301886
2,0.1,0.8,0.6,0.4,0,5,0,5,0.9599253812650643,0.9704046345076678,0.06542056074766354
2,0.1,0.9,0.6,0.4,2,6,-1,7,0.7758718968870226,0.9752833121261895,0.006993006993006993
3,0.05,0.8,0.6,0.4,0,5,0,5,0.8565365447588302,0.9990645019756261,0.03399551832627632
3,0.05,0.9,0.6,0.4,6,7,-4,9,0.9484597025312791,0.9942263038073373,0.027835110713445202
3,0.1,0.8,0.6,0.4,6,5,-5,6,0.9090639070270101,0.9746505834707919,0.0
3,0.1,0.9,0.6,0.4,9,11,-9,11,0.6877542785327317,0.9655481344788563,0.037545014151804466
4,0.05,0.8,0.6,0.4,4,14,-2,16,0.8761176287759498,0.9940254896693523,0.07021827598252206
4,0.05,0.9,0.6,0.4,0,7,0,7,0.8627786581009089,0.9764587234598121,0.03216009457024441
4,0.1,0.8,0.6,0.4,4,15,-1,18,0.7728809081873567,0.9941685732586292,0.022900763358778626
4,0.1,0.9,0.6,0.4,12,19,-12,19,0.7515607005742919,0.967227691956335,0.009290265519202801
