J,alpha,target,phi_E1,phi_E0,rho,min_g1,mean_g1,min_g2,fwer
2,0.05,0.8,0.3,0.1,-0.1,0.8369394933350164,0.8850761635579113,0.8554456770555101,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.0,0.8354760177087903,0.8841522987277178,0.8536309340648154,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.15,0.8341494428395952,0.88346802311693,0.8515337894458118,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.3,0.8339314814062629,0.8836431701273183,0.8501618794896283,0.04954234165634297
2,0.05,0.8,0.6,0.4,-0.1,0.8087888339841669,0.8675634459207582,0.8297107973132724,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.0,0.8067486943185536,0.8659427741369936,0.8267240418341655,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.15,0.804968356113676,0.8644056899501015,0.8231261813304567,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.3,0.8047453180646961,0.8639605215656813,0.820584707001142,0.049437189528869885
2,0.05,0.9,0.3,0.1,-0.1,0.9019985814246629,0.9331781187484669,0.9186718547967608,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.0,0.90184567540632,0.9329251545963687,0.9180313786886534,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.15,0.902266483380039,0.9329423010201291,0.9173825952825335,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.3,0.9032954342207461,0.9334298498803487,0.9170420649483398,0.04854783062131118
2,0.05,0.9,0.6,0.4,-0.1,0.9039820541779968,0.9351949467726269,0.92241186977129,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.0,0.9035661096208538,0.9348265715110041,0.9216071829590189,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.15,0.9036241762562045,0.9347268648945931,0.9207975260164845,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.3,0.9044957479751194,0.9351604990169022,0.9203813634678948,0.048243992917076706
2,0.1,0.8,0.3,0.1,-0.1,0.8214482553782381,0.8744241230189554,0.858611007788612,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.0,0.8202637656765489,0.8737746682931764,0.8566972012309946,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.15,0.819542334663116,0.8736315564216497,0.8544893988206826,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.3,0.8201661672845015,0.8745136283156777,0.8530463158819609,0.09876060743480253
2,0.1,0.8,0.6,0.4,-0.1,0.8112123570478775,0.8697905966829175,0.8498500837400031,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.0,0.8105793040071791,0.8687792537656313,0.8474096227695082,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.15,0.8109649538511365,0.8681722095031944,0.844549862251715,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.3,0.812983431594597,0.8686838484794261,0.8426297265553365,0.09704046345076678
2,0.1,0.9,0.3,0.1,-0.1,0.900543692894261,0.9334404529130221,0.9175709374591732,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.0,0.9002561342510038,0.9331348312069289,0.9169396777637757,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.15,0.900409965279454,0.9330707214884962,0.9162992266084662,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.3,0.9012652891360005,0.9334723276881212,0.9159627694792207,0.09174378065171152
2,0.1,0.9,0.6,0.4,-0.1,0.9041382972766017,0.9353421753270075,0.9388196813269107,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.0,0.9040938547175124,0.9352686556881622,0.9382770021313531,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.15,0.9046735012321052,0.935573124919444,0.9377608372441675,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.3,0.9060477721221616,0.9363781581850074,0.937521710696738,0.09752833121261895
3,0.05,0.8,0.3,0.1,-0.1,0.8060631595828787,0.8689149165534562,0.817282704755636,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.0,0.803914605901397,0.8672799845978758,0.8145549041407469,0.048102372343553745
