J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
2,0.05,0.8,0.3,0.1,0.0,0.0,0.8339314814062629,0.8838977344275181,0.8501618794896283,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.0,0.025,0.7934190747575561,0.8513371043300578,0.8068168221062297,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.0,0.05,0.7142287994726538,0.7914521965406186,0.7263643540855571,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.025,0.0,0.7291766098746895,0.8007058768152554,0.7433682154384798,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.025,0.025,0.6910183917274886,0.7683178983896447,0.7003124807936473,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.025,0.05,0.6181917208814985,0.7097235875673747,0.6258527199144304,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.05,0.0,0.591338311706575,0.6777532061222867,0.5975471745816022,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.05,0.025,0.5548041485967163,0.6470117110853062,0.5592642203483915,0.04954234165634297
2,0.05,0.8,0.3,0.1,0.05,0.05,0.4909246498976535,0.5925954002456871,0.4948711942209929,0.04954234165634297
2,0.05,0.8,0.6,0.4,0.0,0.0,0.8047453180646961,0.8649516478513372,0.820584707001142,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.0,0.025,0.7172758612741507,0.7928553865113792,0.7282459951493775,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.0,0.05,0.5954547509925533,0.684765202990246,0.6018483261980689,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.025,0.0,0.7104924532367791,0.7981946842516342,0.724476711424563,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.025,0.025,0.6284861921824749,0.7269441434722396,0.6380983623937043,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.025,0.05,0.5162421525202342,0.6222826098082764,0.5217851984374825,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.05,0.0,0.5726656501268517,0.6869411455255102,0.5839371341097789,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.05,0.025,0.5010225896867052,0.6196115298924076,0.5086853107960042,0.049437189528869885
2,0.05,0.8,0.6,0.4,0.05,0.05,0.4054803032838831,0.5236133586360783,0.4098340662005102,0.049437189528869885
2,0.05,0.9,0.3,0.1,0.0,0.0,0.90184567540632,0.9331775022383587,0.9170420649483398,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.0,0.025,0.8739641983146679,0.9127662726409383,0.8892537134606883,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.0,0.05,0.8134523698549551,0.8685739728864418,0.8264182438684741,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.025,0.0,0.8143961250719582,0.8700339610357273,0.8255417505417318,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.025,0.025,0.7896104505531659,0.8493180026751902,0.7987597411360785,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.025,0.05,0.73457063432698,0.8049710156778955,0.7430821733807293,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.05,0.0,0.6792623062615093,0.761013634317408,0.6850466320170192,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.05,0.025,0.65534771525793,0.7405440699399358,0.6604630074982172,0.04854783062131118
2,0.05,0.9,0.3,0.1,0.05,0.05,0.6055398280241465,0.6975057811712103,0.6102663466513727,0.04854783062131118
2,0.05,0.9,0.6,0.4,0.0,0.0,0.9035661096208538,0.9349935352639531,0.9203813634678948,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.0,0.025,0.8352881491942638,0.8867568221726173,0.8481840911817795,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.0,0.05,0.7212802080538012,0.7990003964295171,0.7291544869945249,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.025,0.0,0.8481214552000623,0.8930450773347834,0.8615561956383507,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.025,0.025,0.7810258719526361,0.84433564853259,0.7924397656243263,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.025,0.05,0.6698143330167243,0.7568022521187414,0.6771267545108617,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.05,0.0,0.7339479641895794,0.8035848418121008,0.7421844976208872,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.05,0.025,0.6725521222664648,0.7552144192365416,0.6823807831186683,0.048243992917076706
2,0.05,0.9,0.6,0.4,0.05,0.05,0.570531052040962,0.670341163130185,0.57675958929729,0.048243992917076706
2,0.1,0.8,0.3,0.1,0.0,0.0,0.8201661672845015,0.8741441483044272,0.8530463158819609,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.0,0.025,0.7807989400580119,0.8433588833709873,0.8089639441893692,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.0,0.05,0.7085486866656227,0.7897902791623584,0.7340614814521197,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.025,0.0,0.7328415902532225,0.8056696041859789,0.7601292151010066,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.025,0.025,0.6975249958927534,0.7748377053761795,0.7170633415173433,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.025,0.05,0.6293113421059614,0.7219223425580643,0.6469389577182215,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.05,0.0,0.6174869184322554,0.704808294675276,0.6338316974579297,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.05,0.025,0.5833099805715396,0.6749439138632413,0.5949235401935601,0.09876060743480253
2,0.1,0.8,0.3,0.1,0.05,0.05,0.5221715614251922,0.6246022944262276,0.5325678700149974,0.09876060743480253
2,0.1,0.8,0.6,0.4,0.0,0.0,0.8105793040071791,0.8687315511225285,0.8426297265553365,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.0,0.025,0.7351493164073644,0.8089813451911496,0.7623103191242897,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.0,0.05,0.6279689388365848,0.7192067862954459,0.6449175971153711,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.025,0.0,0.7455015693807225,0.8166780713979049,0.7695777188339192,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.025,0.025,0.6716634180037006,0.7570158141604423,0.6953985799055127,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.025,0.05,0.5686575845130541,0.6687411586726554,0.5840054504368174,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.05,0.0,0.638084167104785,0.7286525776396312,0.6598391494154902,0.09704046345076678
2,0.1,0.8,0.6,0.4,0.05,0.025,0.5703317701032047,0.6707153753725668,0.5904860862953545,0.09704046345076678
