J,alpha,target,phi_E1,phi_E0,repetition,elapsed_seconds,retained_candidates
2,0.05,0.8,0.3,0.1,1,257.3355598000344,12906
2,0.05,0.8,0.3,0.1,2,191.17704189999495,12906
2,0.05,0.8,0.3,0.1,3,266.27909099997487,12906
2,0.05,0.8,0.3,0.1,4,266.8922040000325,12906
2,0.05,0.8,0.3,0.1,5,190.27027520001866,12906
2,0.05,0.8,0.3,0.1,6,177.213826399995,12906
2,0.05,0.8,0.3,0.1,7,200.31617900001584,12906
2,0.05,0.8,0.3,0.1,8,201.39827750000404,12906
2,0.05,0.8,0.3,0.1,9,230.80539790005423,12906
2,0.05,0.8,0.3,0.1,10,197.1748038000078,12906
2,0.05,0.8,0.3,0.1,11,205.90501889999723,12906
2,0.05,0.8,0.3,0.1,12,221.7502613000106,12906
2,0.05,0.8,0.3,0.1,13,186.73666449997108,12906
2,0.05,0.8,0.3,0.1,14,191.7078138999641,12906
2,0.05,0.8,0.3,0.1,15,181.5852260000538,12906
2,0.05,0.8,0.3,0.1,16,182.36678900005063,12906
2,0.05,0.8,0.3,0.1,17,180.58774039999116,12906
2,0.05,0.8,0.3,0.1,18,183.9744756,12906
2,0.05,0.8,0.3,0.1,19,185.0651732000406,12906
2,0.05,0.8,0.3,0.1,20,188.3697771000443,12906
2,0.05,0.8,0.6,0.4,1,94.50059660000261,8931
2,0.05,0.8,0.6,0.4,2,96.0530190000427,8931
2,0.05,0.8,0.6,0.4,3,106.43521229998441,8931
2,0.05,0.8,0.6,0.4,4,105.93094900000142,8931
2,0.05,0.8,0.6,0.4,5,105.28303140000207,8931
2,0.05,0.8,0.6,0.4,6,103.01033660001121,8931
2,0.05,0.8,0.6,0.4,7,103.3089274999802,8931
2,0.05,0.8,0.6,0.4,8,97.07012940000277,8931
2,0.05,0.8,0.6,0.4,9,104.76552860002266,8931
2,0.05,0.8,0.6,0.4,10,110.67163120000623,8931
2,0.05,0.8,0.6,0.4,11,107.61431189998984,8931
2,0.05,0.8,0.6,0.4,12,110.18008270004066,8931
2,0.05,0.8,0.6,0.4,13,111.22499209997477,8931
2,0.05,0.8,0.6,0.4,14,111.41338300000643,8931
2,0.05,0.8,0.6,0.4,15,108.77279189997353,8931
2,0.05,0.8,0.6,0.4,16,111.26194820000092,8931
2,0.05,0.8,0.6,0.4,17,111.1179972999962,8931
2,0.05,0.8,0.6,0.4,18,122.73398859996814,8931
2,0.05,0.8,0.6,0.4,19,121.20985069999006,8931
2,0.05,0.8,0.6,0.4,20,112.36737880000146,8931
2,0.05,0.9,0.3,0.1,1,77.18706139997812,9109
2,0.05,0.9,0.3,0.1,2,71.01876220002305,9109
2,0.05,0.9,0.3,0.1,3,73.8499138999614,9109
2,0.05,0.9,0.3,0.1,4,74.268053399981,9109
2,0.05,0.9,0.3,0.1,5,74.58384549996117,9109
2,0.05,0.9,0.3,0.1,6,77.05556320003234,9109
2,0.05,0.9,0.3,0.1,7,96.98511390003841,9109
2,0.05,0.9,0.3,0.1,8,97.79008770000655,9109
2,0.05,0.9,0.3,0.1,9,102.11481649999041,9109
