J,alpha,target,phi_E1,phi_E0,nominal_scenario,roed_s_total_n,roed_total_n,roed_s_nominal_g1,roed_s_full_min_g1,roed_full_min_g1,roed_s_power_loss,roed_s_fwer,roed_fwer,roed_s_elapsed_seconds
2,0.05,0.8,0.3,0.1,W1_rho0.15,53,104,0.8075523548541274,8.571922422894103e-09,0.8339314814062629,0.807552346282205,0.048405156111767766,0.04954234165634297,14.66443539998727
2,0.05,0.9,0.3,0.1,W1_rho0.15,64,125,0.9215046878377096,4.546005359259783e-08,0.90184567540632,0.921504642377656,0.048664898952357594,0.04854783062131118,23.37094320001779
2,0.1,0.8,0.3,0.1,W1_rho0.15,40,86,0.8005242999654577,4.457305664558146e-08,0.8201661672845015,0.800524255392401,0.09948938355785952,0.09876060743480253,25.34933940001065
2,0.1,0.9,0.3,0.1,W1_rho0.15,52,114,0.9011567251681614,4.4906736934896636e-08,0.9002561342510038,0.9011566802614245,0.09148171869952215,0.09174378065171152,24.727257599995937
3,0.05,0.8,0.3,0.1,W2_rho0.15,63,169,0.8025893878227147,4.563181153616831e-08,0.8018210243861342,0.8025893421909032,0.047043949014496045,0.048102372343553745,43.795730800018646
3,0.05,0.9,0.3,0.1,W2_rho0.15,76,211,0.9215046913774547,8.343980312548866e-09,0.9020217995219643,0.9215046830334744,0.04980977183931157,0.04935905667428664,38.13453360000858
3,0.1,0.8,0.3,0.1,W2_rho0.15,53,145,0.8005243034904447,1.525662826663351e-09,0.8084738311835737,0.8005243019647819,0.0992631019815029,0.09636096479128553,41.81228289997671
3,0.1,0.9,0.3,0.1,W2_rho0.15,62,196,0.901156725167405,4.334158914836632e-08,0.901332385016542,0.9011566818258159,0.09697518132915539,0.09265677209350387,41.63259369996376
4,0.05,0.8,0.3,0.1,W2_rho0.15,75,241,0.8025893903772711,8.558465178555486e-09,0.8036812474185192,0.8025893818188059,0.048190772614330135,0.048900418319468786,61.185049499967135
4,0.05,0.9,0.3,0.1,W2_rho0.15,89,301,0.9218411274978863,8.50160381080616e-09,0.9009046213955433,0.9218411189962824,0.04924015962422146,0.049966798801590606,63.40482840000186
4,0.1,0.8,0.3,0.1,W2_rho0.15,64,208,0.801801895350357,4.418732111629169e-08,0.8015041777219117,0.8018018511630358,0.0898743475999918,0.09892522089303624,69.05066319997422
4,0.1,0.9,0.3,0.1,W2_rho0.15,74,283,0.9011567280356906,8.308154587418456e-09,0.9008454026512774,0.901156719727536,0.09806191578266632,0.0994230110351848,68.20604790002108
2,0.05,0.8,0.6,0.4,W1_rho0.15,61,126,0.8128788740989839,0.00016991833617861237,0.8047453180646961,0.8127089557628052,0.04935154310601353,0.049437189528869885,6.598360300005879
2,0.05,0.9,0.6,0.4,W1_rho0.15,76,159,0.9064756717774478,0.00016978190428592872,0.9035661096208538,0.9063058898731619,0.045332668766653095,0.048243992917076706,5.821233900031075
2,0.1,0.8,0.6,0.4,W1_rho0.15,52,107,0.8195061660597731,0.0001654291303750142,0.8105793040071791,0.8193407369293981,0.09148171869952215,0.09704046345076678,9.40794599999208
2,0.1,0.9,0.6,0.4,W1_rho0.15,62,143,0.9125909491297957,2.8400520354190782e-05,0.9040938547175124,0.9125625486094414,0.09977124114663016,0.09752833121261895,7.488368600024842
3,0.05,0.8,0.6,0.4,W2_rho0.15,74,208,0.8128871343404723,3.0146858154320685e-05,0.8080546025658857,0.812856987482318,0.04911266282247295,0.049953225098781306,13.14239870000165
3,0.05,0.9,0.6,0.4,W2_rho0.15,87,264,0.9064795896064373,7.151411150231496e-05,0.9009318047347221,0.906408075494935,0.04879617373896139,0.04971131519036687,12.875250499986578
3,0.1,0.8,0.6,0.4,W2_rho0.15,62,183,0.8195026455963839,0.00016464057236531684,0.809863255261866,0.8193380050240185,0.09697518132915539,0.09746505834707919,14.76901970000472
3,0.1,0.9,0.6,0.4,W2_rho0.15,74,247,0.9178868867702141,0.00016174816836499946,0.9016136482167038,0.9177251386018491,0.09866749907800654,0.09655481344788563,14.193172200000845
4,0.05,0.8,0.6,0.4,W2_rho0.15,87,296,0.8128867663834947,3.0146856941734945e-05,0.8012172163087107,0.812856619526553,0.04980061126538893,0.04970127448346762,18.909188699966762
4,0.05,0.9,0.6,0.4,W2_rho0.15,99,377,0.9064786078991196,7.151410878213471e-05,0.9024250976856382,0.9064070937903375,0.049940888644838366,0.048822936172990605,18.387175199983176
4,0.1,0.8,0.6,0.4,W2_rho0.15,74,262,0.8195063230763302,6.968059375518033e-05,0.8016839553910972,0.819436642482575,0.09806191578266632,0.09941685732586292,18.467224200023338
4,0.1,0.9,0.6,0.4,W2_rho0.15,86,357,0.9178910057448596,6.813023228181339e-05,0.900918232226979,0.9178228755125778,0.09975219693189596,0.0967227691956335,18.171336699975654
